feature,importance
tcp.dstport,0.6478713520097539
tcp.srcport,0.3280387564879181
icmp.seq_le,0.008184740645415708
udp.port,0.004867836848558776
arp.opcode,0.003904307730006642
tcp.len,0.0037060278204107274
tcp.seq,0.0029379877832536915
icmp.checksum,0.00040825564493942603
tcp.ack_raw,2.573644768434604e-05
tcp.flags,2.2249216627858677e-05
tcp.connection.rst,1.3116259043870211e-05
tcp.ack,1.3116075950676027e-05
udp.stream,2.8856383519686303e-06
tcp.checksum,2.6232742818754917e-06
tcp.connection.synack,1.0081178025390724e-06
http.request.method_POST,0.0
http.request.method_GET,0.0
mbtcp.unit_id,0.0
http.request.method_None,0.0
mbtcp.trans_id,0.0
mbtcp.len,0.0
mqtt.ver,0.0
http.request.method_OPTIONS,0.0
http.request.method_PUT,0.0
http.request.method_PROPFIND,0.0
mqtt.proto_len,0.0
http.request.method_SEARCH,0.0
http.request.method_TRACE,0.0
mqtt.protoname_MQTT,0.0
mqtt.protoname_None,0.0
mqtt.topic_None,0.0
mqtt.topic_len,0.0
dns.retransmission,0.0
mqtt.msgtype,0.0
mqtt.len,0.0
icmp.transmit_timestamp,0.0
http.content_length,0.0
http.response,0.0
tcp.connection.fin,0.0
tcp.connection.syn,0.0
tcp.flags.ack,0.0
udp.time_delta,0.0
dns.qry.name,0.0
dns.qry.qu,0.0
arp.hw.size,0.0
dns.retransmit_request,0.0
dns.retransmit_request_in,0.0
mqtt.conflag.cleansess,0.0
mqtt.conflags,0.0
mqtt.hdrflags,0.0
mqtt.topic_Temperature_and_Humidity,0.0
