,Normal,Backdoor,DDoS_HTTP,DDoS_ICMP,DDoS_TCP,DDoS_UDP,Fingerprinting,MITM,Password,Port_Scanning,Ransomware,SQL_injection,Uploading,Vulnerability_scanner,XSS
arp.opcode,1.3295037594313422e-05,4.622218548320234e-06,3.292889334261417e-05,9.371210277701417e-06,4.7065519417325656e-05,1.2771380521977941e-05,7.700493054774901e-06,3.5237987564566234e-06,8.423716644756496e-06,3.316704804698626e-05,1.1470841709524393e-05,6.684300218087932e-06,2.321008127182722e-05,3.084304529086997e-06,9.38855247416844e-06
arp.hw.size,6.867706154783567e-05,1.6630526321629683e-05,0.00016073491424322127,7.629062049090862e-05,0.00012398914123574892,6.301650156577429e-05,3.52262348557512e-05,8.32122378051281e-05,3.806033016492923e-05,9.19768315119048e-06,2.9261790526409944e-05,5.6210452069838844e-05,2.1675038151443005e-05,1.5814102565248806e-05,0.00010086409437159698
icmp.checksum,3.4401983906287286,22.177395532038062,46.50354692300161,16.571607233683267,28.58160285446379,41.99496606389682,59.18957245164447,53.44012190156513,46.12390621542931,26.43665740966797,10.038670664893257,29.969069691565302,12.178536180125343,24.28906339493063,54.61592049712936
icmp.seq_le,12.877448696311976,47.67929511136479,51.75132356643677,31.317168777518802,82.2939051826795,47.187855012814204,17.206300853259034,9.05788725733757,4.861142078489065,96.61861818048689,96.97858774397108,83.38696464909448,100.75438882827758,5.646965188864205,19.633870901929008
icmp.transmit_timestamp,72065.05919270833,173339.1134375,486230.69569444447,148492.8440451389,196844.28614583332,387177.40784722223,506046.4608333333,549289.6113888889,424560.42097222223,202577.13493055556,93729.10598958333,296754.5728819444,56167.54275173611,228219.73444444445,450582.49097222224
http.content_length,0.005816108950617212,0.011332712940136136,0.046039853701267425,0.051940040217335386,0.03375573290200338,0.05106381726138958,0.1686545836194758,0.048376484300265976,0.03994633574701867,0.046617633361832604,0.03686983748752027,0.0343670168759733,0.031279947630459395,0.031741338306724175,0.038422427317838
http.response,8.571516308519575e-05,3.462570667680767e-05,0.0002068457959426774,0.00014970415582259497,0.00014844340789649222,2.004762723421057e-05,0.000282593390180005,0.00013897306078837978,0.00019084957842197683,4.022144686637653e-05,4.467360209673643e-05,2.1242499626370974e-05,1.638879973648323e-05,7.4150079550842445e-06,0.00010905250079101986
tcp.ack,2311.4063729268973,3940.6881231950556,8894.08448437161,4131.648450484342,3020.717176674737,8122.428138918579,10827.565300437609,11595.58029818005,9394.055183705952,3770.918931634426,1674.9478096614364,8306.286542510987,1678.9470568193199,5874.23279768414,11786.423498297798
tcp.ack_raw,0.0003029306376442441,0.00023033239852092416,0.0026682514148928427,0.0004750152882494755,0.0017811327155201676,0.0012300630103830674,0.0015171970695322065,0.002283891735844211,0.0019777856800399403,0.001528845412359361,0.00048701930634403347,0.0014933067228776054,0.0007824281147825079,0.000644156925447482,0.002319835827451142
tcp.checksum,9.211052206900068e-05,0.00031065205851372785,0.001071622158449625,0.00014088046662664056,0.0005657004734217076,0.0011891697769235382,0.0006530194829904051,0.0011413840554392765,0.0007555399184047928,0.00022228814086095857,0.00033462393690570025,0.00026344508935980884,0.00038501324002734486,0.0002659681935790559,0.0012029650967416376
