scenario,true_class_id,true_class_name,predicted_class_id,predicted_class_name,prediction_confidence,top_positive_features,top_negative_features,lime_explanation_time_sec,shap_plot,lime_plot
Normal_Correct,0,Normal,0,Normal,0.9999713897705078,"icmp.transmit_timestamp (+69509.648, val=0.00) | icmp.checksum (+1.303, val=0.00) | http.content_length (+0.003, val=0.00) | tcp.connection.rst (+0.002, val=1.00) | tcp.dstport (+0.002, val=0.85)","dns.qry.name (-318.167, val=0.00) | udp.stream (-271.792, val=0.00) | tcp.seq (-15.322, val=0.02) | tcp.ack (-14.845, val=-0.10) | icmp.seq_le (-4.186, val=0.00)",0.03138613700866699,shap_Normal_Correct.png,lime_Normal_Correct.png
DDoS_UDP_Correct,5,DDoS_UDP,5,DDoS_UDP,1.0,"icmp.transmit_timestamp (+366489.812, val=0.00) | udp.stream (+4902.732, val=2292846.00) | tcp.ack (+3102.997, val=-0.10) | tcp.seq (+14.200, val=-0.09) | udp.port (+0.011, val=0.00)","dns.qry.name (-395.705, val=0.00) | icmp.checksum (-43.309, val=0.00) | icmp.seq_le (-33.485, val=0.00) | tcp.len (-0.144, val=0.00) | tcp.ack_raw (-0.001, val=-0.58)",0.021888017654418945,shap_DDoS_UDP_Correct.png,lime_DDoS_UDP_Correct.png
DDoS_ICMP_Correct,3,DDoS_ICMP,3,DDoS_ICMP,1.0,"tcp.ack (+2456.562, val=-0.10) | icmp.seq_le (+345.973, val=64511.00) | udp.stream (+289.824, val=0.00) | tcp.seq (+214.380, val=-0.09) | dns.qry.name (+104.702, val=0.00)","icmp.transmit_timestamp (-142664.938, val=0.00) | http.content_length (-0.003, val=0.00) | tcp.flags (-0.002, val=-1.00) | tcp.srcport (-0.001, val=-0.11) | tcp.flags.ack (-0.001, val=-1.00)",0.020750045776367188,shap_DDoS_ICMP_Correct.png,lime_DDoS_ICMP_Correct.png
MITM_Correct,7,MITM,7,MITM,0.9922711849212646,"icmp.transmit_timestamp (+524621.750, val=0.00) | udp.stream (+461.895, val=0.00) | dns.qry.name (+207.953, val=0.00) | tcp.ack (+106.342, val=-0.10) | tcp.seq (+78.553, val=0.16)","icmp.checksum (-53.557, val=0.00) | udp.time_delta (-0.408, val=255.00) | dns.qry.qu (-0.005, val=0.00) | tcp.connection.syn (-0.000, val=0.00)",0.021455049514770508,shap_MITM_Correct.png,lime_MITM_Correct.png
SQL_injection_Correct,11,SQL_injection,11,SQL_injection,0.545293927192688,"icmp.transmit_timestamp (+285241.781, val=0.00) | dns.qry.name (+509.657, val=0.00) | udp.stream (+316.078, val=0.00) | tcp.ack (+90.798, val=-0.09) | icmp.seq_le (+75.113, val=0.00)","icmp.checksum (-30.475, val=0.00) | udp.port (-0.005, val=0.00) | tcp.srcport (-0.002, val=-0.11) | tcp.flags (-0.001, val=0.12) | tcp.ack_raw (-0.001, val=0.23)",0.02072882652282715,shap_SQL_injection_Correct.png,lime_SQL_injection_Correct.png
Password_Correct,8,Password,8,Password,0.9823722243309021,"icmp.transmit_timestamp (+405963.750, val=0.00) | udp.stream (+349.690, val=0.00) | dns.qry.name (+116.287, val=0.00) | tcp.ack (+113.405, val=-0.09) | tcp.seq (+85.381, val=-0.07)","icmp.checksum (-47.410, val=0.00) | icmp.seq_le (-0.436, val=0.00) | tcp.flags (-0.005, val=0.06) | udp.port (-0.003, val=0.00) | tcp.connection.fin (-0.002, val=1.00)",0.020602941513061523,shap_Password_Correct.png,lime_Password_Correct.png
Vulnerability_scanner_Correct,13,Vulnerability_scanner,13,Vulnerability_scanner,1.0,"icmp.transmit_timestamp (+219068.406, val=0.00) | dns.qry.name (+167.600, val=0.00) | udp.stream (+136.062, val=0.00) | tcp.ack (+55.080, val=759.50) | tcp.seq (+36.819, val=557.86)","icmp.checksum (-24.180, val=0.00) | tcp.flags (-0.003, val=0.50) | dns.qry.qu (-0.002, val=0.00) | tcp.ack_raw (-0.002, val=0.96) | tcp.flags.ack (-0.001, val=0.00)",0.02047586441040039,shap_Vulnerability_scanner_Correct.png,lime_Vulnerability_scanner_Correct.png
Backdoor_Correct,1,Backdoor,1,Backdoor,0.6962733864784241,"dns.qry.name (+358.406, val=0.00) | udp.stream (+255.130, val=0.00) | icmp.seq_le (+37.650, val=0.00) | icmp.checksum (+24.224, val=0.00) | tcp.flags (+0.005, val=0.50)","icmp.transmit_timestamp (-165693.531, val=0.00) | tcp.seq (-55.393, val=21134.28) | tcp.ack (-2.241, val=-0.09) | tcp.len (-0.289, val=76.00) | tcp.srcport (-0.003, val=1.03)",0.020317792892456055,shap_Backdoor_Correct.png,lime_Backdoor_Correct.png
Backdoor_Misclassified,1,Backdoor,0,Normal,0.5826667547225952,"icmp.transmit_timestamp (+69370.445, val=0.00) | tcp.ack (+150.306, val=34970.12) | tcp.dstport (+0.001, val=0.96) | tcp.ack_raw (+0.000, val=0.47) | tcp.srcport (+0.000, val=-0.03)","dns.qry.name (-309.880, val=0.00) | udp.stream (-266.545, val=0.00) | tcp.seq (-55.593, val=-0.07) | icmp.seq_le (-4.597, val=0.00) | icmp.checksum (-2.977, val=0.00)",0.021017074584960938,shap_Backdoor_Misclassified.png,lime_Backdoor_Misclassified.png
Fingerprinting_Correct,6,Fingerprinting,6,Fingerprinting,0.9571225643157959,"tcp.ack (+66.744, val=-0.09) | icmp.checksum (+61.600, val=0.00) | tcp.seq (+39.972, val=-0.07) | udp.stream (+15.376, val=0.00) | tcp.len (+0.938, val=0.00)","icmp.transmit_timestamp (-483638.000, val=0.00) | dns.qry.name (-58.121, val=0.00) | icmp.seq_le (-18.303, val=0.00) | udp.port (-0.014, val=0.00) | tcp.dstport (-0.003, val=0.88)",0.02105093002319336,shap_Fingerprinting_Correct.png,lime_Fingerprinting_Correct.png
Fingerprinting_Misclassified,6,Fingerprinting,3,DDoS_ICMP,0.6096656322479248,"tcp.ack (+36.195, val=-0.10) | tcp.seq (+31.763, val=-0.09) | icmp.checksum (+1.550, val=33174.00) | tcp.len (+0.067, val=0.00) | udp.port (+0.019, val=0.00)","icmp.transmit_timestamp (-142762.297, val=0.00) | dns.qry.name (-73.482, val=0.00) | icmp.seq_le (-27.587, val=0.00) | udp.stream (-1.806, val=0.00) | tcp.connection.syn (-0.000, val=0.00)",0.02082991600036621,shap_Fingerprinting_Misclassified.png,lime_Fingerprinting_Misclassified.png
Ransomware_Misclassified,10,Ransomware,0,Normal,0.5826667547225952,"icmp.transmit_timestamp (+69490.883, val=0.00) | tcp.ack (+13.741, val=4639.09) | tcp.dstport (+0.001, val=0.57) | udp.port (+0.000, val=0.00) | tcp.srcport (+0.000, val=-0.03)","dns.qry.name (-317.403, val=0.00) | udp.stream (-272.312, val=0.00) | tcp.seq (-29.245, val=-0.07) | icmp.seq_le (-3.508, val=0.00) | icmp.checksum (-1.000, val=0.00)",0.021637916564941406,shap_Ransomware_Misclassified.png,lime_Ransomware_Misclassified.png
